id,address,city,state,price,beds,baths,sqft,remarks,agent_id,list_date,media_urls
MLS-CA-1011,"4593 Maple St, Mountain View, CA",Mountain View,CA,1680702,4,2,2327,"hardwood floors, home office, granite counters, large backyard, EV charger, near good schools",AG5893,2025-08-31,"[""https://picsum.photos/seed/11/1200/800""]"
MLS-CA-1012,"9251 Birch Way, Mountain View, CA",Mountain View,CA,2976019,2,3,3867,"new roof 2022, granite counters, fresh paint, quiet cul-de-sac, vaulted ceilings, updated kitchen",AG6088,2024-04-25,"[""https://picsum.photos/seed/12/1200/800""]"
MLS-TX-1013,"1080 Pine Rd, Frisco, TX",Frisco,TX,225591,2,2,927,"hardwood floors, corner lot, tile flooring, HOA includes pool, fresh paint",AG6801,2025-06-21,"[""https://picsum.photos/seed/13/1200/800""]"
MLS-CA-1014,"8816 Oak Ave, Santa Clara, CA",Santa Clara,CA,2347445,4,2,3750,"tile flooring, hardwood floors, home office, quiet cul-de-sac",AG2148,2024-05-29,"[""https://picsum.photos/seed/14/1200/800""]"
MLS-CA-1015,"7609 Oak Ave, San Jose, CA",San Jose,CA,1236176,2,2,1481,"fresh paint, granite counters, home office, primary suite, stainless appliances",AG1635,2024-04-15,"[""https://picsum.photos/seed/15/1200/800""]"
MLS-TX-1016,"4852 Elm Dr, Plano, TX",Plano,TX,363667,3,2,1881,"EV charger, corner lot, hardwood floors, stainless appliances",AG5249,2025-03-10,"[""https://picsum.photos/seed/16/1200/800""]"
MLS-CA-1017,"2844 Willow Ln, Palo Alto, CA",Palo Alto,CA,673989,4,3,2043,"new roof 2022, stainless appliances, near good schools, home office",AG8390,2025-03-17,"[""https://picsum.photos/seed/17/1200/800""]"
MLS-TX-1018,"9307 Maple St, Dallas, TX",Dallas,TX,374373,4,3,1315,"open concept, quiet cul-de-sac, vaulted ceilings, hardwood floors, near good schools, fresh paint",AG5107,2025-08-29,"[""https://picsum.photos/seed/18/1200/800""]"
MLS-TX-1019,"9045 Oak Ave, Plano, TX",Plano,TX,208226,3,1,889,"primary suite, stainless appliances, open concept, HOA includes pool, two-car garage",AG3967,2024-07-10,"[""https://picsum.photos/seed/19/1200/800""]"
MLS-CA-1020,"1222 Maple St, Santa Clara, CA",Santa Clara,CA,1454840,4,2,1808,"granite counters, corner lot, quiet cul-de-sac, new roof 2022, large backyard, walk to park",AG9082,2024-03-16,"[""https://picsum.photos/seed/20/1200/800""]"
MLS-CA-1021,"817 Birch Way, Sunnyvale, CA",Sunnyvale,CA,775555,4,2,2190,"home office, updated kitchen, granite counters, open concept",AG7731,2024-01-09,"[""https://picsum.photos/seed/21/1200/800""]"
MLS-CA-1022,"2639 Oak Ave, San Jose, CA",San Jose,CA,1454499,2,3,4101,"home office, solar panels, primary suite, new roof 2022",AG4486,2025-03-20,"[""https://picsum.photos/seed/22/1200/800""]"
MLS-CA-1023,"4286 Willow Ln, Mountain View, CA",Mountain View,CA,488045,3,2,838,"corner lot, walk to park, hardwood floors, granite counters",AG7316,2024-05-28,"[""https://picsum.photos/seed/23/1200/800""]"
MLS-TX-1024,"5448 Willow Ln, Dallas, TX",Dallas,TX,855747,4,2,2482,"large backyard, EV charger, HOA includes pool, new roof 2022, granite counters",AG8575,2025-01-07,"[""https://picsum.photos/seed/24/1200/800""]"
MLS-TX-1025,"6919 Oak Ave, Dallas, TX",Dallas,TX,1169100,3,2,4187,"quiet cul-de-sac, large backyard, walk to park, vaulted ceilings",AG8418,2024-01-05,"[""https://picsum.photos/seed/25/1200/800""]"
MLS-TX-1026,"2293 Walnut Blvd, Frisco, TX",Frisco,TX,507871,2,2,1652,"fresh paint, hardwood floors, large backyard, quiet cul-de-sac",AG4636,2025-04-02,"[""https://picsum.photos/seed/26/1200/800""]"
MLS-CA-1027,"7345 Maple St, Santa Clara, CA",Santa Clara,CA,2620539,2,3,2848,"tile flooring, fresh paint, EV charger, near good schools",AG9427,2025-01-23,"[""https://picsum.photos/seed/27/1200/800""]"
MLS-TX-1028,"4958 Willow Ln, Plano, TX",Plano,TX,372267,2,1,1423,"updated kitchen, home office, hardwood floors, EV charger, fresh paint, quiet cul-de-sac",AG2331,2024-09-05,"[""https://picsum.photos/seed/28/1200/800""]"
MLS-TX-1029,"9650 Maple St, Plano, TX",Plano,TX,419121,4,3,1558,"vaulted ceilings, two-car garage, HOA includes pool, near good schools",AG7254,2024-07-01,"[""https://picsum.photos/seed/29/1200/800""]"
MLS-TX-1030,"6190 Birch Way, Dallas, TX",Dallas,TX,345851,5,2,1159,"EV charger, vaulted ceilings, walk to park, large backyard",AG8240,2024-09-05,"[""https://picsum.photos/seed/30/1200/800""]"
MLS-TX-1031,"6593 Maple St, Frisco, TX",Frisco,TX,257950,3,3,1136,"new roof 2022, updated kitchen, solar panels, hardwood floors",AG6122,2025-09-14,"[""https://picsum.photos/seed/31/1200/800""]"
MLS-TX-1032,"6606 Willow Ln, Frisco, TX",Frisco,TX,1061369,4,3,4145,"large backyard, solar panels, stainless appliances, granite counters, HOA includes pool, new roof 2022",AG7371,2024-04-20,"[""https://picsum.photos/seed/32/1200/800""]"
MLS-TX-1033,"8043 Oak Ave, Plano, TX",Plano,TX,841195,2,2,3442,"walk to park, new roof 2022, large backyard, EV charger",AG4735,2024-05-16,"[""https://picsum.photos/seed/33/1200/800""]"
MLS-TX-1034,"8534 Elm Dr, Frisco, TX",Frisco,TX,342161,4,2,1719,"tile flooring, solar panels, home office, walk to park, HOA includes pool",AG9915,2024-08-12,"[""https://picsum.photos/seed/34/1200/800""]"
MLS-CA-1035,"6383 Maple St, Mountain View, CA",Mountain View,CA,708497,2,2,1453,"two-car garage, corner lot, walk to park, near good schools",AG9512,2024-11-14,"[""https://picsum.photos/seed/35/1200/800""]"
MLS-CA-1036,"2932 Maple St, Palo Alto, CA",Palo Alto,CA,2279319,2,2,3758,"HOA includes pool, quiet cul-de-sac, vaulted ceilings, two-car garage, hardwood floors, open concept",AG7413,2024-10-17,"[""https://picsum.photos/seed/36/1200/800""]"
MLS-CA-1037,"2998 Pine Rd, Palo Alto, CA",Palo Alto,CA,1824213,3,3,3421,"HOA includes pool, hardwood floors, solar panels, tile flooring",AG5018,2024-02-08,"[""https://picsum.photos/seed/37/1200/800""]"
MLS-CA-1038,"5865 Willow Ln, Santa Clara, CA",Santa Clara,CA,1328181,3,2,3401,"quiet cul-de-sac, stainless appliances, walk to park, solar panels, granite counters, large backyard",AG2865,2024-04-27,"[""https://picsum.photos/seed/38/1200/800""]"
MLS-TX-1039,"7426 Pine Rd, Plano, TX",Plano,TX,865826,4,3,3063,"updated kitchen, fresh paint, open concept, near good schools, EV charger, vaulted ceilings",AG7166,2024-12-11,"[""https://picsum.photos/seed/39/1200/800""]"
MLS-TX-1040,"2543 Elm Dr, Plano, TX",Plano,TX,750098,3,3,3805,"quiet cul-de-sac, home office, stainless appliances, open concept",AG4368,2025-02-10,"[""https://picsum.photos/seed/40/1200/800""]"
MLS-CA-1041,"5832 Willow Ln, Sunnyvale, CA",Sunnyvale,CA,1029610,4,2,2445,"new roof 2022, vaulted ceilings, open concept, home office, stainless appliances, fresh paint",AG8973,2025-01-20,"[""https://picsum.photos/seed/41/1200/800""]"
MLS-TX-1042,"8766 Oak Ave, Frisco, TX",Frisco,TX,760803,3,2,3487,"two-car garage, stainless appliances, walk to park, solar panels, large backyard, hardwood floors",AG6182,2024-12-25,"[""https://picsum.photos/seed/42/1200/800""]"
MLS-CA-1043,"1859 Birch Way, Sunnyvale, CA",Sunnyvale,CA,1768037,4,3,3062,"hardwood floors, fresh paint, near good schools, tile flooring, EV charger, vaulted ceilings",AG9038,2025-04-02,"[""https://picsum.photos/seed/43/1200/800""]"
MLS-CA-1044,"6405 Willow Ln, Santa Clara, CA",Santa Clara,CA,2747120,4,1,2934,"quiet cul-de-sac, walk to park, granite counters, two-car garage, hardwood floors",AG3143,2024-03-28,"[""https://picsum.photos/seed/44/1200/800""]"
MLS-TX-1045,"2638 Walnut Blvd, Plano, TX",Plano,TX,196640,4,2,964,"open concept, walk to park, large backyard, new roof 2022, primary suite",AG2409,2025-04-15,"[""https://picsum.photos/seed/45/1200/800""]"
MLS-TX-1046,"1655 Cedar Ct, Frisco, TX",Frisco,TX,539919,4,3,1733,"HOA includes pool, tile flooring, near good schools, hardwood floors",AG2304,2024-12-24,"[""https://picsum.photos/seed/46/1200/800""]"
MLS-CA-1047,"1401 Willow Ln, Sunnyvale, CA",Sunnyvale,CA,1100427,3,3,2851,"vaulted ceilings, fresh paint, stainless appliances, solar panels",AG9041,2024-12-07,"[""https://picsum.photos/seed/47/1200/800""]"
MLS-CA-1048,"8092 Elm Dr, Palo Alto, CA",Palo Alto,CA,447696,5,2,967,"large backyard, new roof 2022, fresh paint, home office",AG6415,2024-01-11,"[""https://picsum.photos/seed/48/1200/800""]"
MLS-TX-1049,"9428 Cedar Ct, Dallas, TX",Dallas,TX,556560,3,2,2133,"vaulted ceilings, walk to park, HOA includes pool, open concept, solar panels, fresh paint",AG2240,2024-03-01,"[""https://picsum.photos/seed/49/1200/800""]"
MLS-CA-1050,"6285 Walnut Blvd, Santa Clara, CA",Santa Clara,CA,326009,2,2,930,"EV charger, large backyard, primary suite, fresh paint, stainless appliances, hardwood floors",AG2750,2025-04-29,"[""https://picsum.photos/seed/50/1200/800""]"
MLS-TX-1051,"9001 Walnut Blvd, Plano, TX",Plano,TX,554351,2,2,1912,"hardwood floors, large backyard, granite counters, stainless appliances, walk to park, new roof 2022",AG2500,2025-08-16,"[""https://picsum.photos/seed/51/1200/800""]"
MLS-TX-1052,"2519 Willow Ln, Frisco, TX",Frisco,TX,727194,3,2,2266,"two-car garage, fresh paint, corner lot, open concept",AG8564,2024-06-09,"[""https://picsum.photos/seed/52/1200/800""]"
MLS-TX-1053,"9423 Pine Rd, Dallas, TX",Dallas,TX,286968,5,2,1110,"quiet cul-de-sac, primary suite, open concept, corner lot, granite counters",AG4430,2024-12-05,"[""https://picsum.photos/seed/53/1200/800""]"
MLS-CA-1054,"3860 Maple St, Palo Alto, CA",Palo Alto,CA,968846,3,3,1965,"open concept, vaulted ceilings, quiet cul-de-sac, solar panels, two-car garage",AG5805,2025-03-15,"[""https://picsum.photos/seed/54/1200/800""]"
MLS-TX-1055,"8302 Willow Ln, Frisco, TX",Frisco,TX,640400,5,3,3073,"hardwood floors, solar panels, two-car garage, primary suite, vaulted ceilings, tile flooring",AG3736,2025-06-04,"[""https://picsum.photos/seed/55/1200/800""]"
MLS-CA-1056,"2013 Cedar Ct, Santa Clara, CA",Santa Clara,CA,1513210,2,3,2714,"walk to park, quiet cul-de-sac, corner lot, new roof 2022, vaulted ceilings",AG2218,2024-11-27,"[""https://picsum.photos/seed/56/1200/800""]"
MLS-CA-1057,"9852 Maple St, San Jose, CA",San Jose,CA,847013,4,2,1754,"hardwood floors, primary suite, near good schools, stainless appliances, vaulted ceilings, walk to park",AG2591,2024-02-09,"[""https://picsum.photos/seed/57/1200/800""]"
MLS-CA-1058,"4030 Walnut Blvd, San Jose, CA",San Jose,CA,1839783,4,3,2112,"granite counters, walk to park, home office, EV charger, solar panels, open concept",AG1556,2024-01-31,"[""https://picsum.photos/seed/58/1200/800""]"
MLS-TX-1059,"7661 Oak Ave, Frisco, TX",Frisco,TX,492199,3,3,2374,"open concept, quiet cul-de-sac, two-car garage, stainless appliances, tile flooring",AG6352,2024-08-11,"[""https://picsum.photos/seed/59/1200/800""]"
MLS-CA-1060,"1535 Birch Way, San Jose, CA",San Jose,CA,1057364,4,3,2884,"near good schools, walk to park, stainless appliances, new roof 2022, fresh paint",AG6043,2025-01-15,"[""https://picsum.photos/seed/60/1200/800""]"
MLS-CA-1061,"8320 Birch Way, Mountain View, CA",Mountain View,CA,2301244,3,1,3726,"tile flooring, home office, corner lot, quiet cul-de-sac, solar panels, open concept",AG4778,2025-01-16,"[""https://picsum.photos/seed/61/1200/800""]"
MLS-CA-1062,"1088 Walnut Blvd, Mountain View, CA",Mountain View,CA,493099,4,3,883,"fresh paint, primary suite, solar panels, new roof 2022",AG4676,2024-11-04,"[""https://picsum.photos/seed/62/1200/800""]"
MLS-TX-1063,"1150 Birch Way, Dallas, TX",Dallas,TX,518908,5,2,2835,"large backyard, EV charger, granite counters, HOA includes pool",AG1583,2025-01-29,"[""https://picsum.photos/seed/63/1200/800""]"
MLS-TX-1064,"4267 Pine Rd, Dallas, TX",Dallas,TX,694034,4,2,2813,"tile flooring, walk to park, granite counters, quiet cul-de-sac, hardwood floors",AG9783,2024-11-05,"[""https://picsum.photos/seed/64/1200/800""]"
MLS-TX-1065,"2820 Cedar Ct, Plano, TX",Plano,TX,546739,3,2,2843,"primary suite, two-car garage, tile flooring, stainless appliances",AG9619,2024-10-31,"[""https://picsum.photos/seed/65/1200/800""]"
MLS-TX-1066,"8608 Elm Dr, Dallas, TX",Dallas,TX,766030,3,2,2725,"stainless appliances, updated kitchen, quiet cul-de-sac, tile flooring",AG1514,2024-05-06,"[""https://picsum.photos/seed/66/1200/800""]"
MLS-CA-1067,"4209 Cedar Ct, Sunnyvale, CA",Sunnyvale,CA,2647221,3,2,3861,"new roof 2022, two-car garage, updated kitchen, primary suite",AG9946,2024-02-04,"[""https://picsum.photos/seed/67/1200/800""]"
MLS-CA-1068,"6178 Pine Rd, Palo Alto, CA",Palo Alto,CA,3428997,2,2,3709,"quiet cul-de-sac, new roof 2022, open concept, HOA includes pool, vaulted ceilings",AG2394,2024-07-04,"[""https://picsum.photos/seed/68/1200/800""]"
MLS-TX-1069,"3814 Pine Rd, Plano, TX",Plano,TX,873676,4,2,2868,"fresh paint, HOA includes pool, stainless appliances, home office, EV charger, near good schools",AG5599,2024-08-18,"[""https://picsum.photos/seed/69/1200/800""]"
MLS-CA-1070,"8421 Cedar Ct, Sunnyvale, CA",Sunnyvale,CA,1879826,5,1,3738,"near good schools, primary suite, HOA includes pool, two-car garage, home office",AG7276,2024-10-02,"[""https://picsum.photos/seed/70/1200/800""]"
MLS-TX-1071,"7215 Elm Dr, Dallas, TX",Dallas,TX,331474,2,1,1375,"near good schools, vaulted ceilings, home office, stainless appliances",AG1281,2024-01-01,"[""https://picsum.photos/seed/71/1200/800""]"
MLS-TX-1072,"4393 Elm Dr, Frisco, TX",Frisco,TX,439910,4,3,1882,"open concept, corner lot, vaulted ceilings, HOA includes pool",AG7294,2025-01-18,"[""https://picsum.photos/seed/72/1200/800""]"
MLS-TX-1073,"2069 Pine Rd, Plano, TX",Plano,TX,243728,3,2,1174,"primary suite, corner lot, stainless appliances, hardwood floors",AG5440,2024-01-01,"[""https://picsum.photos/seed/73/1200/800""]"
MLS-CA-1074,"3224 Birch Way, Santa Clara, CA",Santa Clara,CA,1650869,4,1,4091,"EV charger, large backyard, stainless appliances, solar panels, quiet cul-de-sac",AG4553,2025-08-16,"[""https://picsum.photos/seed/74/1200/800""]"
MLS-CA-1075,"9142 Maple St, Palo Alto, CA",Palo Alto,CA,1068255,4,2,2167,"HOA includes pool, corner lot, primary suite, large backyard, granite counters, open concept",AG8117,2024-01-03,"[""https://picsum.photos/seed/75/1200/800""]"
MLS-CA-1076,"6571 Oak Ave, Palo Alto, CA",Palo Alto,CA,869885,3,3,2747,"near good schools, large backyard, quiet cul-de-sac, updated kitchen, primary suite",AG5431,2024-04-26,"[""https://picsum.photos/seed/76/1200/800""]"
MLS-CA-1077,"7036 Birch Way, Mountain View, CA",Mountain View,CA,288297,4,2,850,"solar panels, near good schools, quiet cul-de-sac, primary suite",AG5445,2025-04-03,"[""https://picsum.photos/seed/77/1200/800""]"
MLS-TX-1078,"7152 Birch Way, Frisco, TX",Frisco,TX,278177,2,2,1244,"home office, near good schools, stainless appliances, large backyard, granite counters",AG6752,2025-09-28,"[""https://picsum.photos/seed/78/1200/800""]"
MLS-CA-1079,"6395 Walnut Blvd, San Jose, CA",San Jose,CA,1338572,2,2,1658,"large backyard, open concept, corner lot, HOA includes pool, walk to park",AG1630,2025-03-07,"[""https://picsum.photos/seed/79/1200/800""]"
MLS-CA-1080,"1087 Birch Way, Palo Alto, CA",Palo Alto,CA,979629,3,2,1768,"new roof 2022, corner lot, tile flooring, fresh paint",AG7764,2024-02-05,"[""https://picsum.photos/seed/80/1200/800""]"
MLS-TX-1081,"7943 Pine Rd, Dallas, TX",Dallas,TX,847126,3,1,3495,"fresh paint, quiet cul-de-sac, EV charger, corner lot, home office",AG9533,2024-05-09,"[""https://picsum.photos/seed/81/1200/800""]"
MLS-TX-1082,"2917 Cedar Ct, Frisco, TX",Frisco,TX,819071,5,1,3201,"home office, new roof 2022, granite counters, open concept, stainless appliances",AG8446,2024-12-13,"[""https://picsum.photos/seed/82/1200/800""]"
MLS-CA-1083,"9832 Walnut Blvd, Santa Clara, CA",Santa Clara,CA,2684314,4,2,3168,"near good schools, stainless appliances, primary suite, HOA includes pool",AG3817,2025-03-24,"[""https://picsum.photos/seed/83/1200/800""]"
MLS-CA-1084,"5399 Elm Dr, Santa Clara, CA",Santa Clara,CA,3528809,5,2,4067,"HOA includes pool, vaulted ceilings, primary suite, corner lot, near good schools",AG8693,2024-03-13,"[""https://picsum.photos/seed/84/1200/800""]"
MLS-TX-1085,"7942 Pine Rd, Frisco, TX",Frisco,TX,202535,3,2,929,"vaulted ceilings, primary suite, corner lot, tile flooring, EV charger",AG3964,2025-06-20,"[""https://picsum.photos/seed/85/1200/800""]"
MLS-TX-1086,"7440 Cedar Ct, Frisco, TX",Frisco,TX,235017,4,2,927,"EV charger, hardwood floors, near good schools, quiet cul-de-sac",AG6175,2025-04-07,"[""https://picsum.photos/seed/86/1200/800""]"
MLS-CA-1087,"5548 Birch Way, Sunnyvale, CA",Sunnyvale,CA,698951,4,3,1682,"corner lot, near good schools, primary suite, stainless appliances",AG3044,2025-04-27,"[""https://picsum.photos/seed/87/1200/800""]"
MLS-TX-1088,"1649 Elm Dr, Frisco, TX",Frisco,TX,1184562,4,3,3445,"stainless appliances, EV charger, hardwood floors, new roof 2022, near good schools, HOA includes pool",AG1163,2025-04-09,"[""https://picsum.photos/seed/88/1200/800""]"
MLS-CA-1089,"4895 Maple St, Santa Clara, CA",Santa Clara,CA,1492039,3,3,3155,"walk to park, home office, EV charger, new roof 2022",AG4631,2024-01-29,"[""https://picsum.photos/seed/89/1200/800""]"
MLS-CA-1090,"8533 Oak Ave, Sunnyvale, CA",Sunnyvale,CA,1847277,3,2,3079,"fresh paint, open concept, hardwood floors, new roof 2022, near good schools, walk to park",AG8788,2025-03-10,"[""https://picsum.photos/seed/90/1200/800""]"
MLS-TX-1091,"2811 Elm Dr, Dallas, TX",Dallas,TX,289191,2,3,947,"updated kitchen, EV charger, HOA includes pool, large backyard, granite counters",AG7511,2024-08-07,"[""https://picsum.photos/seed/91/1200/800""]"
MLS-CA-1092,"3939 Birch Way, Sunnyvale, CA",Sunnyvale,CA,2794959,2,1,3809,"solar panels, open concept, updated kitchen, fresh paint, new roof 2022, stainless appliances",AG7303,2024-12-16,"[""https://picsum.photos/seed/92/1200/800""]"
MLS-TX-1093,"8814 Walnut Blvd, Dallas, TX",Dallas,TX,488836,3,1,1735,"open concept, new roof 2022, granite counters, quiet cul-de-sac",AG8165,2025-09-29,"[""https://picsum.photos/seed/93/1200/800""]"
MLS-TX-1094,"7627 Willow Ln, Dallas, TX",Dallas,TX,537806,5,2,2559,"solar panels, quiet cul-de-sac, near good schools, updated kitchen, corner lot",AG9706,2025-09-21,"[""https://picsum.photos/seed/94/1200/800""]"
MLS-CA-1095,"2560 Birch Way, Santa Clara, CA",Santa Clara,CA,1672109,5,2,2104,"walk to park, new roof 2022, open concept, two-car garage, near good schools, vaulted ceilings",AG4967,2024-10-28,"[""https://picsum.photos/seed/95/1200/800""]"
MLS-TX-1096,"9214 Elm Dr, Frisco, TX",Frisco,TX,926890,3,1,2959,"large backyard, updated kitchen, EV charger, new roof 2022, corner lot",AG6251,2024-01-20,"[""https://picsum.photos/seed/96/1200/800""]"
MLS-CA-1097,"1113 Walnut Blvd, San Jose, CA",San Jose,CA,1921008,3,2,2628,"HOA includes pool, granite counters, new roof 2022, fresh paint, stainless appliances",AG7841,2024-02-24,"[""https://picsum.photos/seed/97/1200/800""]"
MLS-CA-1098,"4059 Cedar Ct, Mountain View, CA",Mountain View,CA,963112,5,2,1393,"home office, two-car garage, corner lot, new roof 2022, granite counters, large backyard",AG9667,2024-10-29,"[""https://picsum.photos/seed/98/1200/800""]"
MLS-CA-1099,"1119 Maple St, Santa Clara, CA",Santa Clara,CA,550858,5,3,960,"EV charger, corner lot, large backyard, updated kitchen, stainless appliances, primary suite",AG7397,2025-09-21,"[""https://picsum.photos/seed/99/1200/800""]"
MLS-CA-1100,"4020 Willow Ln, Palo Alto, CA",Palo Alto,CA,3108015,3,3,3410,"solar panels, large backyard, near good schools, two-car garage, fresh paint",AG1685,2024-12-29,"[""https://picsum.photos/seed/100/1200/800""]"
MLS-CA-1101,"7810 Maple St, Mountain View, CA",Mountain View,CA,415834,4,1,1347,"tile flooring, fresh paint, updated kitchen, new roof 2022, solar panels",AG1689,2025-06-02,"[""https://picsum.photos/seed/101/1200/800""]"
MLS-TX-1102,"9714 Birch Way, Plano, TX",Plano,TX,397665,3,2,1971,"near good schools, home office, hardwood floors, new roof 2022, open concept, EV charger",AG7588,2025-02-28,"[""https://picsum.photos/seed/102/1200/800""]"
MLS-CA-1103,"7975 Oak Ave, Sunnyvale, CA",Sunnyvale,CA,2362853,3,1,3174,"large backyard, stainless appliances, hardwood floors, corner lot",AG4137,2024-04-07,"[""https://picsum.photos/seed/103/1200/800""]"
MLS-TX-1104,"3850 Walnut Blvd, Dallas, TX",Dallas,TX,358656,5,2,1143,"EV charger, updated kitchen, granite counters, near good schools, solar panels",AG8548,2024-02-27,"[""https://picsum.photos/seed/104/1200/800""]"
MLS-CA-1105,"5076 Oak Ave, Mountain View, CA",Mountain View,CA,1553817,3,1,2583,"two-car garage, walk to park, updated kitchen, home office",AG9676,2025-08-19,"[""https://picsum.photos/seed/105/1200/800""]"
MLS-TX-1106,"5100 Birch Way, Dallas, TX",Dallas,TX,870970,5,2,3401,"fresh paint, near good schools, walk to park, home office, tile flooring",AG3307,2024-12-31,"[""https://picsum.photos/seed/106/1200/800""]"
MLS-TX-1107,"2691 Elm Dr, Plano, TX",Plano,TX,725866,2,2,2730,"walk to park, large backyard, home office, two-car garage",AG7788,2024-08-14,"[""https://picsum.photos/seed/107/1200/800""]"
MLS-CA-1108,"364 Cedar Ct, Palo Alto, CA",Palo Alto,CA,839573,4,3,2257,"HOA includes pool, vaulted ceilings, quiet cul-de-sac, home office",AG7450,2024-12-03,"[""https://picsum.photos/seed/108/1200/800""]"
MLS-CA-1109,"7196 Elm Dr, San Jose, CA",San Jose,CA,3035716,5,1,3684,"tile flooring, quiet cul-de-sac, fresh paint, new roof 2022, walk to park",AG6925,2024-05-22,"[""https://picsum.photos/seed/109/1200/800""]"
MLS-TX-1110,"6470 Pine Rd, Frisco, TX",Frisco,TX,508733,2,3,1748,"quiet cul-de-sac, tile flooring, fresh paint, walk to park, corner lot",AG1141,2025-09-03,"[""https://picsum.photos/seed/110/1200/800""]"
MLS-CA-1111,"5761 Walnut Blvd, Palo Alto, CA",Palo Alto,CA,434821,5,2,1395,"fresh paint, large backyard, tile flooring, granite counters, EV charger",AG3723,2025-04-09,"[""https://picsum.photos/seed/111/1200/800""]"
MLS-TX-1112,"6916 Maple St, Plano, TX",Plano,TX,697822,4,1,2477,"quiet cul-de-sac, stainless appliances, EV charger, two-car garage, updated kitchen, tile flooring",AG6154,2025-07-29,"[""https://picsum.photos/seed/112/1200/800""]"
MLS-TX-1113,"1592 Oak Ave, Plano, TX",Plano,TX,683476,4,3,2127,"tile flooring, new roof 2022, two-car garage, HOA includes pool, quiet cul-de-sac, open concept",AG7748,2025-02-09,"[""https://picsum.photos/seed/113/1200/800""]"
MLS-TX-1114,"8086 Pine Rd, Dallas, TX",Dallas,TX,390479,5,2,1304,"EV charger, corner lot, tile flooring, new roof 2022, walk to park, two-car garage",AG5875,2024-09-18,"[""https://picsum.photos/seed/114/1200/800""]"
MLS-CA-1115,"7915 Elm Dr, San Jose, CA",San Jose,CA,1081467,3,2,1161,"tile flooring, granite counters, vaulted ceilings, corner lot",AG1340,2024-11-13,"[""https://picsum.photos/seed/115/1200/800""]"
MLS-CA-1116,"6476 Elm Dr, San Jose, CA",San Jose,CA,1132966,2,3,1616,"home office, granite counters, solar panels, quiet cul-de-sac",AG7048,2024-10-27,"[""https://picsum.photos/seed/116/1200/800""]"
MLS-CA-1117,"1087 Birch Way, San Jose, CA",San Jose,CA,1135490,3,3,1319,"vaulted ceilings, near good schools, large backyard, new roof 2022, open concept",AG8922,2024-02-10,"[""https://picsum.photos/seed/117/1200/800""]"
MLS-TX-1118,"5154 Oak Ave, Frisco, TX",Frisco,TX,241767,4,1,1001,"two-car garage, large backyard, home office, updated kitchen, corner lot, fresh paint",AG3466,2024-08-22,"[""https://picsum.photos/seed/118/1200/800""]"
